haploidn,tips,sim
18,F2241,12
18,F12266,12
18,Furang,12
18,Fga490,12
18,FGA456,12
18,FGA516,12
18,FGA513,12
19,F12278,12
19,F12279,12
18,Furant,12
18,FGA331,12
18,FGA332,12
18,FGA465,12
18,FGA99,12
18,F12269,12
17,FGA15,12
17,FGA440,12
18,FGA581,12
18,FGA582,12
25,FGA104,12
25,FGA105,12
18,FGA489,12
19,FGA174,12
19,FGA175,12
18,FurbGB,12
12,CGA312,12
12,CGA963,12
11,CGA642,12
11,CGA763,12
11,CGA764,12
10,C601,12
10,C602,12
12,CGA236,12
11,Calboe,12
11,C3125,12
10,CGA429,12
10,CGA430,12
11,C985,12
11,C984,12
11,CGA310,12
11,CGA314,12
9,CGA382,12
9,CGA365,12
11,CGA494,12
11,CGA495,12
11,C12265,12
16,C404,12
11,Cl11778,12
11,Cl11779,12
10,CGA594,12
11,CGA48,12
11,C3134,12
11,C3126,12
12,CGA311,12
12,CGA45,12
12,CGA46,12
12,C3043,12
12,CGA87,12
12,CGA368,12
12,CGA557,12
12,CGA364,12
13,C2208,12
12,CGA453,12
12,CGA383,12
12,CGA501,12
12,C11776,12
12,C3121,12
12,C3123,12
11,Calparcri,12
11,C3118,12
11,Triowe,12
11,Trijoh,12
11,Trimel,12
11,Trihoe,12
10,Tribit,12
11,Trijac,12
12,Tricri,12
11,Triwie,12
11,Triqua,12
14,Kinboe,12
13,Kinfis,12
17,Kinxen,12
13,Chaafr,12
19,Chacha,12
13,Chacaly,12
12,Chazey,12
17,Chadil,12
17,Chasen,12
17,Chanam,12
12,Riebrev,12
19,Braset,12
30,Bramel,12
21,Bratha,12
21,Bradra,12
21,Bratra,12
19,Bragut,12
19,Braven,12
20,Brapum,12
19,Bradam,12
22,Leiolep,13
9,B3088,13
10,BGA709,13
10,BGA710,13
10,BGA309,13
12,B11696,13
12,B11697,13
12,B11609,13
12,BGA392,13
12,B985,13
12,B983,13
12,B199,13
12,BGAA3,13
12,B11604,13
12,BGA583,13
12,BGA89,13
12,BGA40,13
12,BGAA2,13
12,BGAA1,13
11,BGA584,13
11,BGA706,13
18,BGA304,13
18,BGA303,13
18,BGAB1,13
18,BGA7,13
9,PGA445,13
9,PGA363,13
8,Rhaspe,13
8,Rhamar,13
12,Rhatem,13
8,FGA379,13
8,F647,13
7,F3016,13
7,F3015,13
7,F1476,13
7,FGA81,13
7,Furcep,13
6,Furpol,13
7,F2241,13
7,F12266,13
7,Furang,13
9,Fga490,13
11,FGA456,13
7,FGA516,13
7,FGA513,13
7,F12278,13
7,F12279,13
7,Furant,13
7,FGA331,13
7,FGA332,13
6,FGA465,13
7,FGA99,13
7,F12269,13
9,FGA15,13
9,FGA440,13
6,FGA581,13
6,FGA582,13
8,FGA104,13
8,FGA105,13
7,FGA489,13
6,FGA174,13
6,FGA175,13
9,FurbGB,13
6,CGA312,13
6,CGA963,13
9,CGA642,13
9,CGA763,13
9,CGA764,13
9,C601,13
9,C602,13
16,CGA236,13
17,Calboe,13
