haploidn,tips,sim
17,F3016,15
16,FGA379,15
14,Rhatem,15
13,Rhamar,15
17,Rhaspe,15
18,PGA445,16
19,BGAB1,16
19,BGA304,16
16,BGA584,16
17,BGAA2,16
19,BGA89,16
17,B11604,16
17,B199,16
17,B985,16
17,B11609,16
18,B11696,16
17,BGA309,16
16,BGA709,16
19,B3088,16
15,Bradam,16
16,Brapum,16
15,Braven,16
15,Bragut,16
16,Bratra,16
16,Bradra,16
15,Bratha,16
16,Bramel,16
15,Braset,16
16,Chanam,16
14,Chasen,16
14,Chadil,16
15,Chazey,16
15,Chacaly,16
15,Chacha,16
15,Chaafr,16
20,Kinxen,16
20,Kinfis,16
20,Kinboe,16
18,Triqua,16
19,Triwie,16
19,Tricri,16
17,Trijac,16
18,Tribit,16
17,Trihoe,16
20,Trimel,16
21,Trijoh,16
19,Triowe,16
17,Calparcri,16
17,C3121,16
17,CGA501,16
17,CGA453,16
15,C2208,16
16,CGA364,16
15,CGA368,16
16,C3043,16
15,CGA45,16
15,CGA311,16
15,C3134,16
17,CGA594,16
16,Cl11778,16
16,C404,16
17,C12265,16
16,CGA494,16
17,CGA382,16
17,CGA310,16
16,C985,16
16,CGA429,16
16,C3125,16
16,Calboe,16
16,CGA236,16
16,C601,16
16,CGA763,16
16,CGA642,16
17,CGA312,16
18,FurbGB,16
18,FGA174,16
18,FGA489,16
15,FGA104,16
16,FGA581,16
17,FGA15,16
16,FGA99,16
16,FGA465,16
15,FGA331,16
16,Furant,16
16,F12278,16
16,FGA516,16
16,FGA456,16
16,FGA490,16
16,Furang,16
15,F2241,16
16,Furpol,16
16,Furcep,16
15,F1476,16
17,F3016,16
16,FGA379,16
15,Rhatem,16
18,Rhamar,16
20,Rhaspe,16
17,PGA445,17
16,BGAB1,17
16,BGA304,17
15,BGA584,17
15,BGAA2,17
13,BGA89,17
15,B11604,17
16,B199,17
17,B985,17
15,B11609,17
16,B11696,17
18,BGA309,17
17,BGA709,17
18,B3088,17
19,Bradam,17
19,Brapum,17
19,Braven,17
20,Bragut,17
19,Bratra,17
19,Bradra,17
19,Bratha,17
19,Bramel,17
20,Braset,17
16,Chanam,17
15,Chasen,17
17,Chadil,17
17,Chazey,17
17,Chacaly,17
16,Chacha,17
16,Chaafr,17
18,Kinxen,17
14,Kinfis,17
15,Kinboe,17
17,Triqua,17
17,Triwie,17
16,Tricri,17
16,Trijac,17
17,Tribit,17
16,Trihoe,17
16,Trimel,17
16,Trijoh,17
15,Triowe,17
18,Calparcri,17
17,C3121,17
18,CGA501,17
18,CGA453,17
19,C2208,17
18,CGA364,17
18,CGA368,17
17,C3043,17
18,CGA45,17
19,CGA311,17
17,C3134,17
16,CGA594,17
16,Cl11778,17
15,C404,17
16,C12265,17
16,CGA494,17
18,CGA382,17
17,CGA310,17
17,C985,17
17,CGA429,17
19,C3125,17
19,Calboe,17
16,CGA236,17
16,C601,17
17,CGA763,17
17,CGA642,17
17,CGA312,17
17,FurbGB,17
18,FGA174,17
18,FGA489,17
18,FGA104,17
18,FGA581,17
17,FGA15,17
17,FGA99,17
17,FGA465,17
16,FGA331,17
17,Furant,17
17,F12278,17
17,FGA516,17
17,FGA456,17
17,FGA490,17
18,Furang,17
16,F2241,17
17,Furpol,17
16,Furcep,17
17,F1476,17
18,F3016,17
19,FGA379,17
17,Rhatem,17
15,Rhamar,17
17,Rhaspe,17
15,PGA445,18
14,BGAB1,18
14,BGA304,18
16,BGA584,18
15,BGAA2,18
15,BGA89,18
15,B11604,18
15,B199,18
16,B985,18
20,B11609,18
19,B11696,18
16,BGA309,18
15,BGA709,18
17,B3088,18
19,Bradam,18
18,Brapum,18
18,Braven,18
18,Bragut,18
18,Bratra,18
18,Bradra,18
18,Bratha,18
18,Bramel,18
18,Braset,18
15,Chanam,18
16,Chasen,18
17,Chadil,18
15,Chazey,18
15,Chacaly,18
16,Chacha,18
17,Chaafr,18
18,Kinxen,18
17,Kinfis,18
18,Kinboe,18
18,Triqua,18
19,Triwie,18
19,Tricri,18
19,Trijac,18
19,Tribit,18
17,Trihoe,18
19,Trimel,18
19,Trijoh,18
18,Triowe,18
18,Calparcri,18
19,C3121,18
19,CGA501,18
18,CGA453,18
19,C2208,18
18,CGA364,18
17,CGA368,18
17,C3043,18
19,CGA45,18
18,CGA311,18
17,C3134,18
18,CGA594,18
18,Cl11778,18
18,C404,18
18,C12265,18
17,CGA494,18
18,CGA382,18
17,CGA310,18
17,C985,18
17,CGA429,18
19,C3125,18
20,Calboe,18
17,CGA236,18
19,C601,18
19,CGA763,18
19,CGA642,18
18,CGA312,18
18,FurbGB,18
18,FGA174,18
18,FGA489,18
18,FGA104,18
18,FGA581,18
19,FGA15,18
17,FGA99,18
18,FGA465,18
17,FGA331,18
17,Furant,18
17,F12278,18
18,FGA516,18
18,FGA456,18
