#Nodes with GAIN events with expectation above 0.5
N2: 0.708185
N3: 0.94045
PGA445: 1.46304
Furcep: 1.91211
FGA331: 1.83079
FGA104: 1.07707
FGA174: 1.89076
CGA312: 0.565505
C3125: 1.35123
C3134: 1.42916
C2208: 0.991086
Riebrev: 2.12655
Total number of gain events: 27.5264
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
PGA445: 0.583444
N13: 0.794888
N14: 0.53496
Rhaspe: 2.21721
Rhamar: 2.12581
Rhatem: 1.26016
FGA379: 1.21452
F3016: 1.06175
F1476: 0.966857
N28: 0.697362
FGA465: 0.929537
N36: 0.586867
FGA489: 1.04405
Calboe: 2.62399
CGA429: 1.70445
N46: 0.578232
C985: 2.34472
CGA382: 1.3501
N49: 1.47085
C404: 1.0803
CGA45: 1.0144
C3121: 0.950992
Chanam: 0.557513
Riebrev: 0.656976
N77: 1.4577
Total number of loss events: 42.1583
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 1.39511e-24
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
FGA379: 0.990737
N37: 0.6943
N61: 0.960606
N65: 0.969131
N67: 0.640542
Riebrev: 1.92862
N77: 0.897948
Total number of demi-dulications events: 8.88554
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions in base number with expectation above 0.5
Total number of transitions in base number: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
CGA236	0.388056	2.60847	9.78492e-28	0.999679	0
Calboe	0.239289	5.45907	9.78492e-28	0.999677	0
C3125	1.54548	2.89163	9.78492e-28	1.01996	0
CGA429	0.171688	4.39181	9.78492e-28	0.999677	0
C985	0.176872	5.3947	9.78492e-28	0.999675	0
CGA382	0.182234	4.40008	9.78492e-28	0.999677	0
C12265	0.903414	2.12438	9.78492e-28	0.999703	0
C404	0.413058	4.63399	9.78492e-28	0.999699	0
Cl11778	0.448033	3.66896	9.78492e-28	0.999699	0
C3134	1.82826	2.04952	9.78492e-28	0.999751	0
CGA311	0.366312	1.589	9.78492e-28	0.999775	0
CGA45	0.316012	2.53872	9.78492e-28	0.999773	0
C3043	0.347321	1.57003	9.78492e-28	0.999773	0
CGA364	0.347321	1.57003	9.78492e-28	0.999773	0
C2208	1.27615	1.49886	9.78492e-28	0.999773	0
CGA453	0.357089	1.57966	9.78497e-28	0.999861	0
CGA501	0.386768	1.60934	9.78497e-28	0.999861	0
C3121	0.330322	2.55289	9.78497e-28	0.999861	0
Calparcri	0.376546	1.59911	9.78497e-28	0.999862	0
Triowe	0.248874	1.47176	9.7865e-28	1.00001	0
Trijoh	0.232097	1.45498	9.7865e-28	1.00001	0
Trimel	0.232097	1.45498	9.7865e-28	1.00001	0
Trihoe	0.240268	1.46461	9.7883e-28	0.00177932	0
Tribit	0.240268	1.46461	9.7883e-28	0.00177932	0
Trijac	0.261435	1.48579	9.78828e-28	0.00178264	0
Tricri	0.279671	1.50406	9.7866e-28	0.999985	0
Triwie	0.255587	1.47997	9.7866e-28	0.999984	0
Triqua	0.255587	1.47997	9.7866e-28	0.999984	0
Kinboe	0.351824	1.5844	1.04433e-27	0.999685	0
Kinfis	0.351824	1.5844	1.04433e-27	0.999685	0
Kinxen	0.454618	1.68763	9.86248e-28	0.999753	0
Chaafr	0.320629	1.54329	2.78058e-27	0.000200175	0
Chacha	0.320629	1.54329	2.78058e-27	0.000200175	0
Chacaly	0.316475	1.53914	2.78058e-27	0.000200189	0
Chazey	0.316475	1.53914	2.78058e-27	0.000200189	0
Chadil	0.380611	1.60333	2.78336e-27	0.000215417	0
Chasen	0.380611	1.60333	2.78336e-27	0.000215417	0
Chanam	0.513615	1.74208	9.78492e-28	0.00158838	0
Riebrev	2.16835	1.60142	9.78492e-28	1.99197	0
Braset	0.47499	2.44958	9.78757e-28	0.96182	0
Bramel	0.460925	2.43551	9.78757e-28	0.96182	0
Bratha	0.460925	2.43551	9.78757e-28	0.96182	0
Bradra	0.459617	2.4342	9.78757e-28	0.96182	0
Bratra	0.459617	2.4342	9.78757e-28	0.96182	0
Bragut	0.465344	2.43993	9.78757e-28	0.96182	0
Braven	0.465344	2.43993	9.78757e-28	0.96182	0
Brapum	0.472289	2.44686	9.78757e-28	0.96182	0
Bradam	0.472289	2.44686	9.78757e-28	0.96182	0
